age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the apples: 🍎🍎🍎,3,"['Look at the apples in the picture.', 'Count each apple: 1, 2, 3.', 'The total number of apples is 3.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Write numbers from 1 to 5 in order.,"1, 2, 3, 4, 5","['Start at 1 and add 1 for each next number.', 'Write the numbers in order: 1, 2, 3, 4, 5.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,How many stars are there? ⭐⭐⭐⭐,4,"['Count each star: 1, 2, 3, 4.', 'The total number of stars is 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 2, __, 4, __, 6","3, 5","['Look at the sequence: 2, __, 4, __, 6.', 'The numbers increase by 1 each time.', 'The missing numbers are 3 and 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the pencils: ✏️✏️✏️✏️✏️,5,"['Count each pencil one by one.', 'The total is 5 pencils.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes after 7?,8,"['Count up from 7: 8 is next.', 'The number after 7 is 8.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 11 to 15 in order.,"11, 12, 13, 14, 15","['Start from 11 and keep adding 1.', 'Numbers in order: 11, 12, 13, 14, 15.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 21 to 30 in order.,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30","['Start from 21.', 'Add 1 repeatedly until 30.', 'The numbers are 21 to 30 in order.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the candies: 🍬🍬🍬🍬🍬🍬🍬,7,"['Count each candy: 1, 2, 3, 4, 5, 6, 7.', 'Total candies: 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 1, 2, __, 4",3,"['Look at the sequence: 1, 2, __, 4.', 'The missing number is 3.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the dogs: 🐶🐶,2,"['Count each dog: 1, 2.', 'Total dogs: 2.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 5, __, 7, __, 9","6, 8","['The sequence increases by 1 each time.', 'The missing numbers are 6 and 8.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 16 to 20 in order.,"16, 17, 18, 19, 20","['Start from 16 and add 1 each time.', 'Numbers in order: 16, 17, 18, 19, 20.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 41 to 50 in order.,"41, 42, 43, 44, 45, 46, 47, 48, 49, 50","['Start from 41.', 'Add 1 repeatedly until 50.', 'Numbers in order: 41 to 50.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the bananas: 🍌🍌🍌🍌🍌🍌,6,"['Count each banana: 1, 2, 3, 4, 5, 6.', 'Total bananas: 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 9?,10,"['Count up from 9.', 'The next number is 10.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the flowers: 🌸🌸🌸🌸🌸,5,"['Count each flower: 1, 2, 3, 4, 5.', 'Total flowers: 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 12, __, 14, __, 16","13, 15","['The sequence increases by 1 each time.', 'The missing numbers are 13 and 15.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 31 to 40 in order.,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40","['Start from 31.', 'Add 1 repeatedly until 40.', 'Numbers in order: 31 to 40.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the balloons: 🎈🎈🎈🎈🎈🎈,6,"['Count each balloon one by one: 1, 2, 3, 4, 5, 6.', 'Total balloons: 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What number comes before 5?,4,"['Count backwards from 5.', 'The number before 5 is 4.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the cars: 🚗🚗🚗,3,"['Count each car: 1, 2, 3.', 'Total cars: 3.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 8, __, 10, __, 12","9, 11","['The sequence increases by 1 each time.', 'The missing numbers are 9 and 11.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the fishes: 🐟🐟🐟🐟🐟🐟🐟🐟,8,"['Count each fish one by one.', 'Total fishes: 8.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes after 14?,15,"['Count up from 14.', 'The next number is 15.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 6 to 10 in order.,"6, 7, 8, 9, 10","['Start from 6 and add 1 repeatedly.', 'Numbers in order: 6, 7, 8, 9, 10.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 51 to 60 in order.,"51, 52, 53, 54, 55, 56, 57, 58, 59, 60","['Start from 51.', 'Add 1 repeatedly until 60.', 'Numbers in order: 51 to 60.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the oranges: 🍊🍊🍊🍊🍊🍊🍊🍊🍊,9,"['Count each orange: 1, 2, 3, 4, 5, 6, 7, 8, 9.', 'Total oranges: 9.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 7, 8, __, 10",9,"['Look at the sequence: 7, 8, __, 10.', 'The missing number is 9.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the birds: 🐦🐦🐦🐦,4,"['Count each bird: 1, 2, 3, 4.', 'Total birds: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 10, __, 12, __, 14","11, 13","['The sequence increases by 1 each time.', 'The missing numbers are 11 and 13.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 21 to 25 in order.,"21, 22, 23, 24, 25","['Start from 21 and add 1 repeatedly.', 'Numbers in order: 21, 22, 23, 24, 25.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 61 to 70 in order.,"61, 62, 63, 64, 65, 66, 67, 68, 69, 70","['Start from 61.', 'Add 1 repeatedly until 70.', 'Numbers in order: 61 to 70.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the pineapples: 🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍,10,"['Count each pineapple: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10.', 'Total pineapples: 10.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,What comes after 3?,4,"['Count up from 3.', 'The next number is 4.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the kittens: 🐱🐱🐱🐱🐱,5,"['Count each kitten: 1, 2, 3, 4, 5.', 'Total kittens: 5.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 15, __, 17, __, 19","16, 18","['The sequence increases by 1 each time.', 'The missing numbers are 16 and 18.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 71 to 80 in order.,"71, 72, 73, 74, 75, 76, 77, 78, 79, 80","['Start from 71.', 'Add 1 repeatedly until 80.', 'Numbers in order: 71 to 80.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the apples: 🍎🍎🍎🍎🍎🍎,6,"['Count each apple one by one: 1, 2, 3, 4, 5, 6.', 'Total apples: 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Which number comes after 6?,7,"['Count up from 6.', 'The next number is 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the pencils: ✏️✏️✏️✏️,4,"['Count each pencil: 1, 2, 3, 4.', 'Total pencils: 4.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill in the missing numbers: 3, __, 5, __, 7","4, 6","['The numbers increase by 1 each time.', 'The missing numbers are 4 and 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Count the stars: ⭐⭐⭐⭐⭐⭐,6,"['Count each star: 1, 2, 3, 4, 5, 6.', 'Total stars: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Which number comes before 10?,9,"['Count backwards from 10.', 'The number before 10 is 9.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 15 to 20 in order.,"15, 16, 17, 18, 19, 20","['Start from 15 and add 1 repeatedly.', 'Numbers in order: 15, 16, 17, 18, 19, 20.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Write numbers from 81 to 90 in order.,"81, 82, 83, 84, 85, 86, 87, 88, 89, 90","['Start from 81.', 'Add 1 repeatedly until 90.', 'Numbers in order: 81 to 90.']"
5-7,Mathematics,Number recognition and counting,hard,numerical,Count the grapes: 🍇🍇🍇🍇🍇🍇🍇,7,"['Count each grape: 1, 2, 3, 4, 5, 6, 7.', 'Total grapes: 7.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,"Which number is missing? 4, 5, __, 7",6,"['Look at the sequence: 4, 5, __, 7.', 'The missing number is 6.']"
5-7,Mathematics,Number recognition and counting,easy,numerical,Count the kittens: 🐱🐱🐱🐱🐱🐱,6,"['Count each kitten: 1, 2, 3, 4, 5, 6.', 'Total kittens: 6.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,"Fill the missing numbers: 11, __, 13, __, 15","12, 14","['The sequence increases by 1 each time.', 'The missing numbers are 12 and 14.']"
5-7,Mathematics,Number recognition and counting,medium,numerical,Write numbers from 26 to 30 in order.,"26, 27, 28, 29, 30","['Start from 26 and add 1 repeatedly.', 'Numbers in order: 26, 27, 28, 29, 30.']"
