age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The apple is ___ (red).,La manzana es roja,"[""Identify the color red in Spanish: 'roja'."", ""Match the adjective with the noun gender: 'manzana' is feminine."", ""Form the sentence: 'La manzana es roja'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'three' in French?,trois,"['Recall French numbers 1–10.', ""Identify number 3: 'trois'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Today is Monday' in German.,Heute ist Montag,"[""Translate 'today' = 'heute'."", ""Translate 'Monday' = 'Montag'."", ""Form sentence: 'Heute ist Montag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'cat' in Arabic?,قطة,"[""Recognize 'cat' in Arabic: 'قطة'."", ""Pronounce it correctly as 'qitta'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The banana is ___.,La banana è gialla,"[""Identify the color yellow in Italian: 'gialla'."", ""Match adjective with noun: 'banana' is feminine."", ""Form sentence: 'La banana è gialla'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'pencil' to Spanish.,lápiz,"[""Identify classroom object: 'pencil'."", ""Translate to Spanish: 'lápiz'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The sky is blue' in French.,Le ciel est bleu,"[""Translate 'sky' = 'ciel'."", ""Translate 'blue' = 'bleu'."", ""Form sentence: 'Le ciel est bleu'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'five' in German?,fünf,"['Identify number 5.', ""Translate to German: 'fünf'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Tomorrow is Friday' in Arabic.,غداً الجمعة,"[""Translate 'tomorrow' = 'غداً'."", ""Translate 'Friday' = 'الجمعة'."", ""Form sentence: 'غداً الجمعة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'dog' in Italian?,cane,"[""Identify animal: 'dog'."", ""Translate to Italian: 'cane'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The grapes are ___.,Las uvas son moradas,"[""Identify color purple in Spanish: 'moradas'."", ""Match plural noun 'uvas' with adjective."", ""Form sentence: 'Las uvas son moradas'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'book' to French.,livre,"[""Identify classroom object: 'book'."", ""Translate to French: 'livre'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The green chair is near the table' in German.,Der grüne Stuhl ist neben dem Tisch,"[""Translate 'chair' = 'Stuhl' and 'green' = 'grüne'."", ""Translate 'table' = 'Tisch'."", ""Use correct article 'der' for masculine noun."", ""Form sentence: 'Der grüne Stuhl ist neben dem Tisch'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 12 in Arabic?,١٢,"['Recall Arabic numerals.', ""Write 12 = '١٢'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Yesterday was Wednesday' in Italian.,Ieri era mercoledì,"[""Translate 'yesterday' = 'ieri'."", ""Translate 'Wednesday' = 'mercoledì'."", ""Form sentence: 'Ieri era mercoledì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The lion is big' into Spanish.,El león es grande,"[""Translate 'lion' = 'león'."", ""Translate 'big' = 'grande'."", ""Use correct article 'el'."", ""Form sentence: 'El león es grande'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The apples are ___.,Les pommes sont rouges,"[""Identify plural noun 'pommes'."", ""Identify color red = 'rouges'."", ""Form sentence: 'Les pommes sont rouges'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The whiteboard is clean' into German.,Das Whiteboard ist sauber,"[""Translate 'whiteboard' = 'Whiteboard'."", ""Translate 'clean' = 'sauber'."", ""Use article 'das'."", ""Form sentence: 'Das Whiteboard ist sauber'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The sun is yellow' in Arabic.,الشمس صفراء,"[""Translate 'sun' = 'الشمس'."", ""Translate 'yellow' = 'صفراء'."", ""Form sentence: 'الشمس صفراء'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'seven' in Italian?,sette,"['Recall Italian numbers 1–10.', ""Translate 7 = 'sette'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The sky is ___.,El cielo es azul,"[""Identify the color blue in Spanish: 'azul'."", ""Form the sentence: 'El cielo es azul'.""]"
